# UniProt_ID,P59533
# Target_name,T2R38_HUMAN Taste receptor type 2 member 38
# Molecules_screened,1687
# Generated_at,2025-08-21T21:35:03
#
Rank,Drug Name,Target Name,Binding Score
280,rs5,T2R38_HUMAN,1356.52
281,galangin,T2R38_HUMAN,1382.14
282,ferronyl carbonyl iron,T2R38_HUMAN,1384.26
283,bergamot oil,T2R38_HUMAN,1385.33
284,proanthocyanidin,T2R38_HUMAN,1390.97
285,riboflavin hydrochloride,T2R38_HUMAN,1397.42
286,adrenal,T2R38_HUMAN,1398.03
287,carnosic acid,T2R38_HUMAN,1398.32
288,ferronyl iron,T2R38_HUMAN,1402.94
289,acetyl l-carnitine arginate,T2R38_HUMAN,1405.11
290,aminopeptidase,T2R38_HUMAN,1412.90
291,serrapeptase,T2R38_HUMAN,1415.13
292,brassicasterol,T2R38_HUMAN,1415.79
293,tocotrienols,T2R38_HUMAN,1422.34
294,3-n-butylphthalide,T2R38_HUMAN,1426.57
295,7-hydroxymatairesinol,T2R38_HUMAN,1429.83
296,wogonin,T2R38_HUMAN,1441.77
297,tgf-alpha,T2R38_HUMAN,1450.91
298,leucodelphinidin,T2R38_HUMAN,1454.22
299,adenosine triphosphate disodium salt,T2R38_HUMAN,1482.31
300,25-deoxy-20-hydroxyecdysone,T2R38_HUMAN,1483.12
301,hyperforin,T2R38_HUMAN,1491.09
302,isopropoxy isoflavone,T2R38_HUMAN,1496.73
303,aniracetam,T2R38_HUMAN,1529.90
304,para-aminobenzoate,T2R38_HUMAN,1531.70
305,muscarine,T2R38_HUMAN,1532.37
306,riboflavin sodium phosphate,T2R38_HUMAN,1533.15
307,colour,T2R38_HUMAN,1540.69
308,green tea leaves,T2R38_HUMAN,1542.69
309,adrafinil,T2R38_HUMAN,1558.15
310,3;4-divanillyltetrahydrofuran,T2R38_HUMAN,1582.86
311,14-hydroxydocosahexaenoic acid,T2R38_HUMAN,1589.07
312,deoxyribonucleic acid,T2R38_HUMAN,1591.37
313,octadecatetraenoic acid,T2R38_HUMAN,1610.33
314,caprylic acid triglyceride,T2R38_HUMAN,1611.34
315,tributyrin,T2R38_HUMAN,1620.72
316,ginkgetin,T2R38_HUMAN,1651.34
317,propyl gallate,T2R38_HUMAN,1657.28
318,alpha-bisabolol,T2R38_HUMAN,1664.31
319,cannabis,T2R38_HUMAN,1671.40
320,enoxin,T2R38_HUMAN,1671.81
321,luteolin-7-o-glucoside,T2R38_HUMAN,1680.33
322,diosmetin,T2R38_HUMAN,1688.39
323,lariciresinol,T2R38_HUMAN,1690.48
324,5a-hydroxy laxogenin,T2R38_HUMAN,1704.87
325,mix,T2R38_HUMAN,1725.71
326,hexadecenoic acid,T2R38_HUMAN,1728.25
327,coq10,T2R38_HUMAN,1731.88
328,p5p,T2R38_HUMAN,1735.34
329,ellagic acid,T2R38_HUMAN,1735.57
330,s-adenosyl-l-methionine tosylate disulfate,T2R38_HUMAN,1737.80
331,hypericin,T2R38_HUMAN,1757.58
332,isoquercetin,T2R38_HUMAN,1757.95
333,allin,T2R38_HUMAN,1767.44
334,isosilybin,T2R38_HUMAN,1774.05
335,saponins,T2R38_HUMAN,1786.48
336,cyanidin,T2R38_HUMAN,1786.68
337,magnesium l-aspartate,T2R38_HUMAN,1790.20
338,opc,T2R38_HUMAN,1793.90
339,triterpenoids,T2R38_HUMAN,1798.03
340,pyridoxal 5-phosphate,T2R38_HUMAN,1802.74
341,borneol,T2R38_HUMAN,1814.12
342,chromium nicotinate,T2R38_HUMAN,1824.32
343,chromium dinicotinate glycinate,T2R38_HUMAN,1831.28
