# UniProt_ID,P23560
# Target_name,BDNF_HUMAN Neurotrophic factor BDNF precursor form
# Molecules_screened,1687
# Generated_at,2025-08-21T21:37:39
#
Rank,Drug Name,Target Name,Binding Score
304,adenosine triphosphate disodium salt,BDNF_HUMAN,4055.34
305,peptan,BDNF_HUMAN,4069.01
306,kava,BDNF_HUMAN,4069.59
307,dioscin,BDNF_HUMAN,4082.18
308,tauroxicum,BDNF_HUMAN,4088.28
309,isoquercetin,BDNF_HUMAN,4091.53
310,bergamot oil,BDNF_HUMAN,4104.28
311,phloridzin,BDNF_HUMAN,4201.63
312,serrapeptase,BDNF_HUMAN,4238.86
313,adenosine triphosphate,BDNF_HUMAN,4270.31
314,baicalein,BDNF_HUMAN,4312.65
315,corynine,BDNF_HUMAN,4323.80
316,phytol,BDNF_HUMAN,4330.34
317,docosahexaenoic acid ethyl ester,BDNF_HUMAN,4330.59
318,quatrefolic,BDNF_HUMAN,4333.66
319,adenosine 5'-triphosphate disodium,BDNF_HUMAN,4360.76
320,malvidin,BDNF_HUMAN,4410.57
321,progenin iii,BDNF_HUMAN,4420.21
322,asiaticoside,BDNF_HUMAN,4447.95
323,l-tetrahydropalmatine,BDNF_HUMAN,4457.06
324,harpagoside,BDNF_HUMAN,4509.52
325,ginsenoside rg3,BDNF_HUMAN,4550.50
326,osa,BDNF_HUMAN,4594.61
327,nadh,BDNF_HUMAN,4623.03
328,hwg,BDNF_HUMAN,4626.54
329,protodioscin,BDNF_HUMAN,4661.03
330,11-keto-beta-boswellic acid,BDNF_HUMAN,4711.71
331,luteolin-7-o-glucoside,BDNF_HUMAN,4732.65
332,sitostanol,BDNF_HUMAN,4755.48
333,hesperitin,BDNF_HUMAN,4763.77
334,folinic acid,BDNF_HUMAN,4772.53
335,salvianolic acid b,BDNF_HUMAN,4785.23
336,c3g,BDNF_HUMAN,4797.81
337,arginine malate,BDNF_HUMAN,4813.11
338,14-hydroxydocosahexaenoic acid,BDNF_HUMAN,4815.54
339,n-acetyl-l-cystine,BDNF_HUMAN,4840.72
340,higenamine hcl,BDNF_HUMAN,4872.44
341,xanthinol nicotinate,BDNF_HUMAN,4944.45
342,arjunolic acid,BDNF_HUMAN,4950.86
343,11-oxo,BDNF_HUMAN,4959.14
344,valerenic acid,BDNF_HUMAN,5023.53
345,octadecatetraenoic acid,BDNF_HUMAN,5024.18
346,cyanidin,BDNF_HUMAN,5063.38
347,yellows,BDNF_HUMAN,5079.89
348,gamma cyclodextrin,BDNF_HUMAN,5090.98
349,eicosatetraenoic acid,BDNF_HUMAN,5097.44
350,pseudoprotodioscin,BDNF_HUMAN,5100.74
351,sorbitan oleate,BDNF_HUMAN,5142.24
352,borneol,BDNF_HUMAN,5216.17
353,d-alpha-tocotrienol,BDNF_HUMAN,5231.80
354,aurantium,BDNF_HUMAN,5300.81
355,magnesium ascorbyl phosphate,BDNF_HUMAN,5365.16
356,ellagic acid,BDNF_HUMAN,5404.75
357,turkey rhubarb,BDNF_HUMAN,5455.32
358,l-methylfolate magnesium,BDNF_HUMAN,5520.84
359,taurocholic acid,BDNF_HUMAN,5570.36
360,aucubin,BDNF_HUMAN,5643.45
361,uridine 5'-monophosphate disodium salt,BDNF_HUMAN,5660.24
362,l-methylfolate calcium,BDNF_HUMAN,5672.51
363,dim,BDNF_HUMAN,5715.00
364,acacetin,BDNF_HUMAN,5741.75
365,docosapentaenoic acid ethyl ester,BDNF_HUMAN,5743.15
366,tricreatine malate,BDNF_HUMAN,5743.22
367,l-glutathione,BDNF_HUMAN,5745.83
368,adrafinil,BDNF_HUMAN,5767.61
369,folic acid,BDNF_HUMAN,5781.66
370,neoxanthin,BDNF_HUMAN,5876.70
371,p-6,BDNF_HUMAN,5929.67
372,lactucopicrin,BDNF_HUMAN,5969.17
373,dicreatine malate,BDNF_HUMAN,6010.38
374,myricetin,BDNF_HUMAN,6020.04
375,3beta-acetoxy-5alpha-androstan-17-one,BDNF_HUMAN,6026.49
376,carnosic acid,BDNF_HUMAN,6032.40
377,tianeptine,BDNF_HUMAN,6075.27
378,andarine,BDNF_HUMAN,6128.06
379,higenamine,BDNF_HUMAN,6129.86
380,petunidin,BDNF_HUMAN,6138.01
381,myricitrin,BDNF_HUMAN,6161.36
382,eicosapentaenoic acid ethyl ester,BDNF_HUMAN,6168.31
383,sfb,BDNF_HUMAN,6172.18
384,trans-geranylgeraniol,BDNF_HUMAN,6191.07
385,centellin,BDNF_HUMAN,6193.31
386,l-carnitine orotate,BDNF_HUMAN,6201.86
387,taxifolin,BDNF_HUMAN,6220.65
388,ibutamoren,BDNF_HUMAN,6307.18
389,methyl protodioscin,BDNF_HUMAN,6335.91
390,piperlongumine,BDNF_HUMAN,6372.23
391,muscarine,BDNF_HUMAN,6383.43
392,potassium benzoate,BDNF_HUMAN,6430.42
393,turkesterone,BDNF_HUMAN,6480.38
394,bala,BDNF_HUMAN,6519.04
395,oleuropein aglycone,BDNF_HUMAN,6539.85
396,saikosaponin a,BDNF_HUMAN,6554.96
397,calcium orotate,BDNF_HUMAN,6576.69
398,copper gluconate,BDNF_HUMAN,6583.96
399,petasin,BDNF_HUMAN,6586.22
400,yohimbine hcl,BDNF_HUMAN,6621.11
401,xanthophyll,BDNF_HUMAN,6630.66
402,glycochenodeoxycholic acid,BDNF_HUMAN,6661.39
403,epf,BDNF_HUMAN,6708.55
404,pantethine,BDNF_HUMAN,6739.14
405,red squill,BDNF_HUMAN,6757.58
406,taurochenodeoxycholic acid,BDNF_HUMAN,6865.03
407,salidroside,BDNF_HUMAN,6908.51
408,oleocanthal,BDNF_HUMAN,6958.96
409,emodin,BDNF_HUMAN,6974.81
410,taurodeoxycholic acid,BDNF_HUMAN,7037.20
411,chromium nicotinate,BDNF_HUMAN,7091.19
412,oleuropein,BDNF_HUMAN,7152.75
413,kava kava,BDNF_HUMAN,7156.03
414,cbga,BDNF_HUMAN,7166.23
415,monacolin k,BDNF_HUMAN,7171.12
416,dan-shen,BDNF_HUMAN,7217.63
417,fibroblast growth factor,BDNF_HUMAN,7219.27
418,zinc arginine,BDNF_HUMAN,7229.53
419,dihydroberberine,BDNF_HUMAN,7236.40
420,divanil,BDNF_HUMAN,7246.88
421,octyl gallate,BDNF_HUMAN,7251.81
422,silydianin,BDNF_HUMAN,7302.04
423,tokyo violet,BDNF_HUMAN,7332.36
424,bis picolinato oxo vanadium,BDNF_HUMAN,7340.77
425,bismuth gluconate,BDNF_HUMAN,7375.11
426,pyrroloquinoline quinone disodium salt,BDNF_HUMAN,7418.26
427,miliacin,BDNF_HUMAN,7458.88
428,isopropylnorsynephrine,BDNF_HUMAN,7488.70
429,tanshinone iia,BDNF_HUMAN,7506.39
430,5a-hydroxy laxogenin,BDNF_HUMAN,7633.50
431,nmn,BDNF_HUMAN,7646.61
432,chrysin,BDNF_HUMAN,7651.26
433,piceid,BDNF_HUMAN,7665.23
434,l-citrulline monohydrate,BDNF_HUMAN,7672.10
435,magnesium l-aspartate,BDNF_HUMAN,7673.53
436,apigenin,BDNF_HUMAN,7772.42
437,halodrol,BDNF_HUMAN,7872.18
438,mix,BDNF_HUMAN,7933.77
439,zinc-l-carnosine,BDNF_HUMAN,7942.48
440,cannabinoid,BDNF_HUMAN,7969.53
441,n-methyltyramine hcl,BDNF_HUMAN,8005.11
442,ivy,BDNF_HUMAN,8025.80
443,magnesium orotate,BDNF_HUMAN,8072.08
444,ethoxyquin,BDNF_HUMAN,8080.41
445,gamma oryzanol,BDNF_HUMAN,8139.24
446,fd&c red 40,BDNF_HUMAN,8194.40
447,sesamin,BDNF_HUMAN,8280.04
448,arginine ketoisocaproate,BDNF_HUMAN,8292.74
449,chromium gtf,BDNF_HUMAN,8292.77
450,fullerene,BDNF_HUMAN,8332.02
451,(z)-n-(2-hydroxyethyl)octadec-9-enamide,BDNF_HUMAN,8338.60
452,lysozyme chloride,BDNF_HUMAN,8368.94
453,shellfish,BDNF_HUMAN,8381.70
454,tudca sodium,BDNF_HUMAN,8448.01
455,chromium dinicotinate glycinate,BDNF_HUMAN,8460.92
456,3-acetyl-11-keto-beta-boswellic acid,BDNF_HUMAN,8463.91
457,6-keto-diosgenin,BDNF_HUMAN,8475.75
458,indigo,BDNF_HUMAN,8480.69
459,6-bromo,BDNF_HUMAN,8506.62
460,iron picolinate,BDNF_HUMAN,8527.37
461,matrine,BDNF_HUMAN,8535.76
462,mk-677,BDNF_HUMAN,8548.54
463,n-benzoyl-l-phenylalanine methyl ester,BDNF_HUMAN,8556.58
464,bile salt,BDNF_HUMAN,8597.06
465,mogroside v,BDNF_HUMAN,8640.69
466,4-hydroxyandrostenedione,BDNF_HUMAN,8708.23
467,bacoside a3,BDNF_HUMAN,8830.99
468,hydroxypropyl-beta-cyclodextrin,BDNF_HUMAN,8840.61
469,phyllemblin,BDNF_HUMAN,8847.44
470,zinc orotate,BDNF_HUMAN,8889.26
471,glycosides,BDNF_HUMAN,8934.78
472,arginine alpha-ketoglutarate,BDNF_HUMAN,8939.91
473,biochanin a,BDNF_HUMAN,8949.55
474,anthocyanins,BDNF_HUMAN,8951.15
475,p5p,BDNF_HUMAN,8979.89
476,mediator,BDNF_HUMAN,9084.84
477,quercetin dihydrate,BDNF_HUMAN,9113.41
478,cbg,BDNF_HUMAN,9135.27
479,mannanase,BDNF_HUMAN,9266.36
480,xos,BDNF_HUMAN,9271.33
481,citrulline malate,BDNF_HUMAN,9376.15
482,propylparaben,BDNF_HUMAN,9444.97
483,propyl gallate,BDNF_HUMAN,9548.37
484,coluracetam,BDNF_HUMAN,9565.84
485,acetyl-l-carnitine arginate,BDNF_HUMAN,9567.55
486,guaiol,BDNF_HUMAN,9599.29
487,phytoestrogen,BDNF_HUMAN,9611.95
488,bpf,BDNF_HUMAN,9659.97
489,synephrine hcl,BDNF_HUMAN,9756.55
490,5;7-dimethoxyflavone,BDNF_HUMAN,9824.00
491,diglycerides,BDNF_HUMAN,9874.55
492,ubiquinol,BDNF_HUMAN,9891.88
